q_1,dq_1,q_2,dq_2,ddq_1,ddq_2,output_1,output_2
0.000000,0.000000,0.000000,0.000000,-0.165662,0.276103,-0.331324,0.000000
-0.000030,-0.002900,0.000051,0.004827,-0.124476,0.206633,-0.249200,0.000000
-0.000111,-0.004986,0.000184,0.008268,-0.084337,0.137556,-0.169576,0.000000
-0.000225,-0.006282,0.000372,0.010338,-0.045480,0.069715,-0.092785,0.000000
-0.000357,-0.006815,0.000588,0.011070,-0.008087,0.003857,-0.019060,0.000000
-0.000492,-0.006616,0.000806,0.010510,0.027706,-0.059361,0.051458,0.000000
-0.000617,-0.005718,0.001001,0.008717,0.061813,-0.119382,0.118719,0.000000
-0.000717,-0.004155,0.001147,0.005759,0.094190,-0.175741,0.182754,0.000000
-0.000779,-0.001962,0.001224,0.001714,0.124835,-0.228067,0.243668,0.000000
-0.000791,0.000827,0.001209,-0.003335,0.153781,-0.276071,0.301632,0.000000
-0.000742,0.004178,0.001084,-0.009299,0.181092,-0.319547,0.356866,0.000000
-0.000620,0.008060,0.000832,-0.016086,0.206858,-0.358361,0.409636,0.000000
-0.000416,0.012443,0.000436,-0.023602,0.231186,-0.392437,0.460233,0.000000
-0.000120,0.017299,-0.000117,-0.031751,0.254197,-0.421755,0.508965,0.000000
0.000279,0.022603,-0.000838,-0.040440,0.276018,-0.446333,0.556145,0.000000
0.000787,0.028333,-0.001737,-0.049573,0.296774,-0.466220,0.602071,0.000000
0.001415,0.034468,-0.002823,-0.059058,0.316587,-0.481486,0.647024,0.000000
0.002169,0.040991,-0.004101,-0.068803,0.335560,-0.492208,0.691246,0.000000
0.003057,0.047885,-0.005576,-0.078717,0.353784,-0.498460,0.734935,0.000000
0.004087,0.055137,-0.007250,-0.088712,0.371322,-0.500310,0.778233,0.000000
0.005265,0.062734,-0.009125,-0.098700,0.388211,-0.497805,0.821218,0.000000
0.006598,0.070661,-0.011198,-0.108595,0.404456,-0.490970,0.863897,0.000000
0.008093,0.078907,-0.013467,-0.118310,0.420028,-0.479800,0.906199,0.000000
0.009756,0.087458,-0.015928,-0.127758,0.434862,-0.464259,0.947973,0.000000
0.011594,0.096296,-0.018575,-0.136851,0.448856,-0.444278,0.988985,0.000000
0.013610,0.105405,-0.021400,-0.145499,0.461873,-0.419756,1.028919,0.000000
0.015811,0.114764,-0.024392,-0.153610,0.473736,-0.390563,1.067379,0.000000
0.018202,0.124346,-0.027540,-0.161089,0.484239,-0.356542,1.103890,0.000000
0.020787,0.134123,-0.030830,-0.167838,0.493144,-0.317522,1.137910,0.000000
0.023568,0.144059,-0.034248,-0.173755,0.500188,-0.273317,1.168832,0.000000
0.026550,0.154116,-0.037774,-0.178735,0.505083,-0.223743,1.195995,0.000000
0.029733,0.164246,-0.041390,-0.182668,0.507531,-0.168625,1.218697,0.000000
0.033120,0.174399,-0.045073,-0.185442,0.507220,-0.107810,1.236204,0.000000
0.036709,0.184514,-0.048799,-0.186942,0.503837,-0.041177,1.247766,0.000000
0.040500,0.194529,-0.052542,-0.187050,0.497076,0.031344,1.252631,0.000000
0.044489,0.204373,-0.056271,-0.185649,0.486641,0.109765,1.250061,0.000000
0.048673,0.213969,-0.059957,-0.182620,0.472256,0.194026,1.239343,0.000000
0.053046,0.223235,-0.063564,-0.177850,0.453675,0.283981,1.219812,0.000000
0.057599,0.232086,-0.067058,-0.171225,0.430685,0.379387,1.190863,0.000000
0.062326,0.240432,-0.070400,-0.162640,0.403117,0.479897,1.151964,0.000000
0.067213,0.248180,-0.073550,-0.151998,0.370850,0.585051,1.102675,0.000000
0.072248,0.255234,-0.076466,-0.139211,0.333818,0.694263,1.042660,0.000000
0.077417,0.261501,-0.079104,-0.124205,0.292017,0.806827,0.971699,0.000000
0.082702,0.266884,-0.081419,-0.106921,0.245506,0.921909,0.889700,0.000000
0.088086,0.271290,-0.083365,-0.087318,0.194415,1.038544,0.796709,0.000000
0.093547,0.274631,-0.084896,-0.065376,0.138945,1.155644,0.692915,0.000000
0.099063,0.276821,-0.085965,-0.041097,0.079369,1.271999,0.578657,0.000000
0.104611,0.277781,-0.086525,-0.014510,0.016038,1.386282,0.454430,0.000000
0.110166,0.277440,-0.086530,0.014331,-0.050625,1.497061,0.320881,0.000000
0.115700,0.275737,-0.085937,0.045339,-0.120124,1.602807,0.178810,0.000000
0.121186,0.272620,-0.084703,0.078399,-0.191892,1.701908,0.029169,0.000000
0.126595,0.268050,-0.082788,0.113360,-0.265293,1.792682,-0.126950,0.000000
0.131898,0.262002,-0.080157,0.150039,-0.339630,1.873395,-0.288320,0.000000
0.137065,0.254464,-0.076777,0.188217,-0.414149,1.942281,-0.453589,0.000000
0.142067,0.245440,-0.072620,0.227639,-0.488045,1.997558,-0.621297,0.000000
0.146873,0.234952,-0.067665,0.268017,-0.560474,2.037459,-0.789888,0.000000
0.151455,0.223037,-0.061895,0.309024,-0.630557,2.060255,-0.957727,0.000000
0.155785,0.209751,-0.055302,0.350302,-0.697398,2.064279,-1.123123,0.000000
0.159837,0.195169,-0.047884,0.391459,-0.760091,2.047968,-1.284341,0.000000
0.163584,0.179381,-0.039647,0.432075,-0.817738,2.009888,-1.439634,0.000000
0.167005,0.162499,-0.030607,0.471701,-0.869462,1.948778,-1.587253,0.000000
0.170078,0.144648,-0.020789,0.509866,-0.914423,1.863583,-1.725482,0.000000
